121,3,3
86,4,2
94,5,2
120,6,2
23,7,8
24,8,9
25,8,10
26,9,11
149,10,12
76,11,13
154,12,14
155,13,15
156,14,16
145,15,16
146,15,17
147,16,18
150,17,19
36,18,19
37,18,20
77,19,19
78,19,20
73,20,21
74,21,21
71,22,22
72,23,22
87,24,22
83,25,22
89,26,22
80,27,22
48,28,22
81,29,22
95,30,26
63,31,24
64,31,25
170,32,1
158,33,2
159,34,2
160,34,33
161,34,34
107,35,2
444,36,2
168,37,2
169,37,35
119,38,1
183,39,36
190,40,37
192,41,39
194,42,39
195,43,39
343,44,40
344,44,41
345,44,42
346,45,40
347,45,41
348,45,42
322,46,40
323,46,41
324,46,42
506,47,40
507,47,41
508,47,42
340,48,40
341,48,41
342,48,42
337,49,40
338,49,41
339,49,42
334,50,40
335,50,41
336,50,42
331,51,40
332,51,41
333,51,42
328,52,40
329,52,41
330,52,42
352,53,40
353,53,41
354,53,42
325,54,40
326,54,41
327,54,42
365,55,43
366,55,44
367,56,43
368,56,44
369,57,43
370,57,44
371,58,43
372,58,44
373,59,43
374,59,44
443,60,2
445,61,2
452,62,2
450,63,2
448,64,2
447,65,2
364,66,45
358,67,46
550,68,47
549,69,48
548,70,49
453,71,50
454,71,51
359,72,52
360,72,53
361,72,54
546,73,41
547,73,55
543,74,56
544,74,57
545,74,58
541,75,59
542,75,60
384,76,61
385,76,62
477,77,63
478,77,64
581,78,65
579,79,66
580,79,67
577,80,68
578,80,69
540,81,70
538,82,71
539,82,72
570,83,73
569,84,74
567,85,75
568,85,76
565,86,77
566,86,78
587,87,79
588,87,80
586,88,81
593,89,82
594,89,83
582,90,84
583,90,85
500,91,86
501,91,87
558,92,88
589,93,89
557,94,90
590,95,91
555,96,92
553,97,93
554,98,94
498,99,95
602,100,96
518,101,97
601,102,98
600,103,99
599,104,100
598,105,101
597,106,102
603,107,103
595,108,104
571,109,105
552,110,106
604,111,107
605,111,108
606,111,109
607,112,107
608,112,108
609,112,109
610,113,107
612,113,109
611,113,110
639,114,111
633,115,112
634,115,113
635,115,114
625,116,115
626,116,116
627,116,117
628,116,118
629,116,119
630,116,120
631,116,121
632,116,122
