493,3,6
429,4,1
443,5,2
444,5,4
492,6,1
45,7,1
46,8,1
47,8,7
48,9,1
525,10,3
524,10,7
356,11,1
357,11,8
358,11,19
530,12,3
531,13,3
532,14,3
521,15,3
522,16,3
526,17,3
69,18,1
359,19,1
326,20,9
338,21,5
339,21,6
340,21,7
341,21,9
342,21,10
343,21,11
294,22,6
295,22,7
296,22,9
297,22,10
298,22,11
309,23,6
317,23,15
318,23,16
319,23,17
320,23,18
430,24,2
416,25,10
417,25,11
418,25,12
422,25,16
423,25,17
424,25,18
432,26,1
433,26,5
434,26,9
363,27,6
364,27,7
365,27,8
366,27,9
240,28,8
215,28,15
216,28,16
217,28,17
218,28,18
378,29,1
382,29,8
383,29,9
384,29,10
385,29,11
445,30,1
267,31,1
268,31,5
547,32,1
535,33,2
536,33,4
537,34,2
538,34,4
468,35,2
469,35,4
816,36,2
817,36,4
545,37,2
546,37,4
490,38,2
491,38,4
565,39,5
578,40,5
579,40,6
581,41,5
585,42,1
586,42,5
587,42,6
588,43,5
723,44,1
724,44,5
725,45,1
726,45,5
705,46,1
706,46,5
707,46,6
912,47,6
721,48,1
722,48,6
718,49,1
719,49,6
720,49,14
716,50,1
717,50,7
714,51,1
715,51,7
712,52,1
713,52,8
729,53,1
730,53,9
731,53,10
732,53,11
733,53,14
708,54,1
709,54,11
710,54,12
711,54,13
740,55,3
741,56,3
742,57,3
743,58,3
744,59,3
814,60,2
815,60,4
818,61,2
819,61,4
833,62,2
834,62,4
828,63,2
830,63,22
829,63,26
824,64,2
825,64,4
822,65,2
823,65,4
739,66,1
735,67,14
978,68,9
979,68,13
976,69,9
977,69,13
974,70,9
975,70,13
835,71,6
836,71,9
736,72,13
971,73,1
972,73,9
973,73,13
969,74,1
970,74,13
967,75,5
968,75,13
752,76,13
869,77,1
870,77,14
1051,78,1
1052,78,12
1053,78,14
1048,79,1
1049,79,12
1050,79,14
1045,80,1
1046,80,12
1047,80,14
965,81,1
966,81,13
963,82,1
964,82,13
1024,83,1
1026,83,3
1025,83,13
1021,84,1
1023,84,3
1022,84,13
1018,85,1
1020,85,3
1019,85,6
1015,86,1
1017,86,3
1016,86,6
1065,87,1
1068,87,3
1066,87,6
1067,87,12
1061,88,1
1064,88,3
1062,88,6
1063,88,12
1085,89,1
1089,89,3
1086,89,6
1087,89,12
1088,89,14
1054,90,1
1056,90,3
1055,90,12
904,91,1
905,91,3
1000,92,1
1002,92,3
1001,92,6
1069,93,1
1072,93,3
1070,93,6
1071,93,12
997,94,1
999,94,3
998,94,6
1073,95,1
1076,95,3
1074,95,6
1075,95,12
991,96,1
993,96,3
992,96,6
985,97,1
987,97,3
986,97,6
988,98,1
989,98,3
990,98,28
899,99,1
900,99,3
901,99,28
1118,100,1
1120,100,3
1119,100,19
1121,100,27
930,101,1
931,101,3
932,101,27
1115,102,1
1117,102,3
1116,102,19
1112,103,1
1114,103,3
1113,103,19
1108,104,1
1111,104,3
1109,104,9
1110,104,19
1104,105,1
1107,105,3
1105,105,9
1106,105,19
1099,106,1
1103,106,3
1100,106,9
1101,106,12
1102,106,14
1122,107,1
1126,107,3
1123,107,9
1124,107,12
1125,107,14
1090,108,1
1093,108,3
1091,108,9
1092,108,14
1028,109,3
1027,109,9
1029,109,22
982,110,2
984,110,3
983,110,4
1127,111,13
1128,112,13
1129,113,13
1138,114,13
1134,115,7
1133,116,7
